timestamp,cpu_total_pct,agent_node_procs,total_procs
2026-08-22T14:14:11.7005411-04:00,30,0,358
2026-08-22T14:14:17.0512546-04:00,34,0,359
2026-08-22T14:14:22.3739943-04:00,20,0,367
2026-08-22T14:14:27.7098330-04:00,19,0,364
2026-08-22T14:14:33.0622405-04:00,21,0,366
2026-08-22T14:14:38.3890082-04:00,30,0,361
2026-08-22T14:14:43.7157608-04:00,36,0,360
2026-08-22T14:14:49.0428658-04:00,31,0,365
2026-08-22T14:14:54.3525764-04:00,17,0,359
2026-08-22T14:14:59.6876966-04:00,38,0,364
2026-08-22T14:15:05.0057799-04:00,26,0,360
2026-08-22T14:15:10.3348528-04:00,31,0,362
2026-08-22T14:15:15.6539864-04:00,25,0,358
2026-08-22T14:15:20.9777225-04:00,23,0,361
2026-08-22T14:15:26.3026649-04:00,23,0,364
2026-08-22T14:15:31.6280008-04:00,9,0,358
2026-08-22T14:15:36.9613630-04:00,14,0,362
2026-08-22T14:15:42.2887218-04:00,22,0,357
2026-08-22T14:15:47.6188220-04:00,19,0,361
2026-08-22T14:15:52.9224247-04:00,15,0,353
2026-08-22T14:15:58.2272151-04:00,9,0,355
2026-08-22T14:16:03.5622061-04:00,20,0,360
2026-08-22T14:16:08.8802426-04:00,33,0,360
2026-08-22T14:16:14.2133424-04:00,16,0,358
2026-08-22T14:16:19.5236794-04:00,8,0,353
2026-08-22T14:16:24.8520328-04:00,25,0,361
2026-08-22T14:16:30.1688485-04:00,22,0,359
2026-08-22T14:16:35.4934055-04:00,22,0,358
2026-08-22T14:16:40.8116273-04:00,12,0,360
2026-08-22T14:16:46.1192953-04:00,15,0,359
2026-08-22T14:16:51.4515839-04:00,34,0,360
2026-08-22T14:16:56.7744460-04:00,20,0,361
2026-08-22T14:17:02.0950847-04:00,33,0,363
2026-08-22T14:17:07.4334177-04:00,28,0,364
2026-08-22T14:17:12.7618100-04:00,41,0,365
2026-08-22T14:17:18.0815149-04:00,54,0,367
2026-08-22T14:17:23.3989247-04:00,13,0,361
2026-08-22T14:17:28.7352613-04:00,23,0,363
2026-08-22T14:17:34.0639481-04:00,20,0,362
2026-08-22T14:17:39.3883392-04:00,24,0,364
2026-08-22T14:17:44.7163948-04:00,17,0,361
2026-08-22T14:17:50.0340866-04:00,10,0,361
2026-08-22T14:17:55.3626693-04:00,19,0,359
2026-08-22T14:18:00.7060108-04:00,40,0,367
2026-08-22T14:18:06.0283503-04:00,23,0,360
2026-08-22T14:18:11.3340722-04:00,0,0,356
2026-08-22T14:18:16.6486639-04:00,25,0,360
2026-08-22T14:18:21.9781793-04:00,25,0,359
2026-08-22T14:18:27.3021931-04:00,18,0,359
2026-08-22T14:18:32.6360751-04:00,22,0,357
2026-08-22T14:18:37.9606168-04:00,14,0,357
2026-08-22T14:18:43.2828315-04:00,19,0,357
2026-08-22T14:18:48.6150931-04:00,16,0,361
2026-08-22T14:18:53.9452154-04:00,23,0,354
2026-08-22T14:18:59.2666530-04:00,12,0,355
2026-08-22T14:19:04.5819038-04:00,12,0,359
2026-08-22T14:19:09.8972403-04:00,19,0,359
2026-08-22T14:19:15.2250735-04:00,25,0,357
2026-08-22T14:19:20.5255054-04:00,14,0,352
2026-08-22T14:19:25.8974267-04:00,55,0,366
2026-08-22T14:19:31.2463359-04:00,65,0,364
2026-08-22T14:19:36.5868182-04:00,41,0,364
2026-08-22T14:19:41.9116724-04:00,28,0,362
2026-08-22T14:19:47.2454508-04:00,21,0,363
2026-08-22T14:19:52.5650376-04:00,15,0,368
2026-08-22T14:19:57.8862773-04:00,18,0,365
2026-08-22T14:20:04.2508272-04:00,22,0,366
2026-08-22T14:20:09.5726664-04:00,19,0,365
2026-08-22T14:20:14.9069386-04:00,20,0,368
2026-08-22T14:20:20.2394598-04:00,17,0,365
2026-08-22T14:20:25.5812372-04:00,55,0,376
2026-08-22T14:20:30.8920171-04:00,25,0,360
2026-08-22T14:20:36.2210553-04:00,25,0,365
2026-08-22T14:20:41.5629171-04:00,39,0,365
2026-08-22T14:20:46.9046383-04:00,25,0,363
2026-08-22T14:20:52.2328543-04:00,22,0,364
2026-08-22T14:20:57.5621629-04:00,22,0,363
2026-08-22T14:21:02.8830901-04:00,22,0,363
2026-08-22T14:21:08.2166730-04:00,19,0,361
2026-08-22T14:21:13.5334338-04:00,21,0,359
2026-08-22T14:21:18.8613989-04:00,18,0,362
2026-08-22T14:21:24.1869852-04:00,28,0,359
2026-08-22T14:21:29.5216578-04:00,21,0,358
2026-08-22T14:21:34.8452367-04:00,20,0,360
2026-08-22T14:21:40.1469886-04:00,16,0,354
